gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
THG1L,0.2584869811803565,0.3863193518613475,11969,non-target,unlabeled,,0.3744054525419389,0.3744054525419389,1.06,-0.116,0,0.0,-2.5759600687506983,-0.4858306246389332,1.7457045182094,-1.590917855184936,0.3972599714428277,0.2765181131091999,0.413143148242486,0.1787958115183246,0.2343473367241614,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1
APOA5,0.2584667422415055,0.3862680750692236,11970,non-target,unlabeled,,,,1.13,0.733,0,0.0,,,,,,,,,,,,,,,,,,,0
SMIM18,0.2584549606610567,0.3862167982770997,11971,non-target,unlabeled,,,,1.56,0.842,0,0.0,,,,,,,,,,,,,,,,,,,0
ZBTB6,0.2583637196909297,0.3861655214849759,11972,non-target,unlabeled,,,,0.596,2.11,0,0.0,-31.032495046072444,,,-0.7483397501439177,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TRIM31,0.2583468566237367,0.386114244692852,11973,non-target,unlabeled,,,,1.03,0.813,0,0.0,,,,,,,,,,,,,,,,,,,0
LRRC58,0.2583106587712581,0.3860629679007281,11974,non-target,unlabeled,,,,0.872,0.954,0,0.0,-20.90935044723206,0.7796059474148236,-1.7088112465951564,1.320869673271953,-4.157890316602634,0.8717748240813136,0.739429444727458,0.8005235602094241,0.1323453793538556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
TAX1BP1,0.2583055020437628,0.3860116911086042,11975,non-target,unlabeled,,,,0.784,0.692,0,0.071247,22.731823255739343,-1.2732871286732834,0.8691278101222932,-0.1070721398996941,-2.678633830964979,0.7026322647902007,0.1602139582272032,0.6664921465968586,0.5424183065629975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ARFGAP3,0.2582815081193185,0.3859604143164803,11976,non-target,unlabeled,,,,1.17,0.113,0,0.0,19.386392781456426,,,-2.281561722267768,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AVPR2,0.25826005138419,0.3859091375243564,11977,non-target,unlabeled,,0.3129604184912131,0.3129604184912131,0.644,1.58,0,0.0,,,,,,0.6210581183216054,0.2116658176260825,0.6416230366492146,0.4299572190231321,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
CRISPLD1,0.2582352662421002,0.3858578607322326,11978,non-target,unlabeled,,,,0.96,-0.124,0,0.054819,-5.691126374518533,-0.7599915246050658,4.363582899809727,-0.2205725555806482,1.807869382124652,,,,,0.0,0.0,0.0,,,,,,,0
